index,time_pos,lat,lon,alt,err_x,err_y,err_z,vx,vy,vz,speed_norm
453,15-16-16,48.6300729,7.789269,150.42000000000002,22.65040655751217,-0.0514434110207835,-0.4200000000000159,2.0,-0.0514434110207835,-0.4200000000000159,2.000661496739879
456,15-16-16,48.6300746,7.7892691,150.37,22.461375182377644,-0.0587924687663156,-0.37000000000000455,2.0,-0.0587924687663156,-0.37000000000000455,2.000863951992648
459,15-16-16,48.6300762,7.789269,150.32,22.283463300037514,-0.05144340933860746,-0.3199999999999932,2.0,-0.05144340933860746,-0.3199999999999932,2.000661496696625
462,15-16-16,48.6300778,7.7892688,150.27,22.1055514169073,-0.036745291830121846,-0.27000000000001023,2.0,-0.036745291830121846,-0.27000000000001023,2.0003375256370313
465,15-16-16,48.6300798,7.7892688,150.21,21.883161564179666,-0.03674529110190709,-0.21000000000000796,2.0,-0.03674529110190709,-0.21000000000000796,2.0003375256236544
468,15-16-16,48.6300816,7.7892687,150.15,21.68301069625074,-0.02939623234415649,-0.15000000000000568,2.0,-0.02939623234415649,-0.15000000000000568,2.0002160229525288
471,15-16-17,48.6300835,7.7892685,150.09,21.471740335527414,-0.014698115927993,-0.09000000000000341,2.0,-0.014698115927993,-0.09000000000000341,2.0000540079237443
474,15-16-17,48.6300854,7.7892683,150.03,21.26046997480409,0.0,-0.030000000000001137,2.0,0.0,-0.030000000000001137,2.0
477,15-16-17,48.6300872,7.7892682,149.96,21.060319106875163,0.007349057629284282,0.03999999999999204,2.0,0.007349057629284282,0.03999999999999204,2.000013502116433
480,15-16-17,48.630089,7.789268,149.9,20.860168238946237,0.022047172625162335,0.09999999999999432,2.0,0.022047172625162335,0.09999999999999432,2.000121515763671
483,15-16-17,48.6300907,7.7892678,149.83,20.67113686381171,0.036745287067863716,0.1699999999999875,2.0,0.036745287067863716,0.1699999999999875,2.0003375255495506
486,15-16-17,48.6300926,7.7892676,149.75,20.459866503088385,0.051443400978701675,0.25,2.0,0.051443400978701675,0.25,2.000661496481665
489,15-16-17,48.6300944,7.7892673,149.67000000000002,20.25971563515946,0.07349057150660529,0.3299999999999841,2.0,0.07349057150660529,0.3299999999999841,2.0013497605616983
492,15-16-17,48.6300962,7.789267,149.58,20.059564767230533,0.09553774124803686,0.4199999999999875,2.0,0.09553774124803686,0.4199999999999875,2.002280564756792
495,15-16-18,48.6300981,7.7892666,149.49,19.848294406507208,0.12493396692201207,0.5099999999999909,2.0,0.12493396692201207,0.5099999999999909,2.003898324788678
498,15-16-18,48.6300999,7.7892663,149.4,19.64814353857828,0.14698113493757436,0.5999999999999943,2.0,0.14698113493757436,0.5999999999999943,2.005393590801451
501,15-16-18,48.6301015,7.789266,149.33,19.470231655448064,0.16902830256691617,0.6699999999999875,2.0,0.16902830256691617,0.6699999999999875,2.007129932781795
504,15-16-18,48.6301032,7.7892659,149.26,19.281200280313538,0.17637735618373643,0.7400000000000091,2.0,0.17637735618373643,0.7400000000000091,2.0077621800836782
507,15-16-18,48.6301051,7.789266,149.18,19.069929919590212,0.1690282965372968,0.8199999999999932,2.0,0.1690282965372968,0.8199999999999932,2.007129932274017
510,15-16-18,48.6301068,7.789266,149.11,18.880898544455686,0.16902829368997652,0.8899999999999864,2.0,0.16902829368997652,0.8899999999999864,2.007129932034233
513,15-16-18,48.6301087,7.789266,149.05,18.66962818373236,0.16902829050767731,0.9499999999999886,2.0,0.16902829050767731,0.9499999999999886,2.007129931766239
516,15-16-18,48.6301106,7.789266,148.99,18.458357823009038,0.1690282873253781,1.009999999999991,2.0,0.1690282873253781,1.0,2.007129931498245
